,station_id,year,avg_ridership
294,40170,2010,61718.0
295,40170,2011,66283.0
296,40170,2012,66733.0
297,40170,2013,65060.0
298,40170,2014,65209.0
299,40170,2015,67583.0
300,40170,2016,63287.0
301,40170,2017,61649.0
302,40170,2018,62399.0
303,40170,2019,62089.0
304,40180,2001,34323.0
305,40180,2002,34524.0
306,40180,2003,34894.0
307,40180,2004,35036.0
308,40180,2005,35833.0
309,40180,2006,37987.0
310,40180,2007,38260.0
311,40180,2008,40801.0
312,40180,2009,40145.0
313,40180,2010,41524.0
314,40180,2011,43901.0
315,40180,2012,44913.0
316,40180,2013,45465.0
317,40180,2014,46363.0
318,40180,2015,46127.0
319,40180,2016,46119.0
320,40180,2017,44746.0
321,40180,2018,44082.0
322,40180,2019,42036.0
323,40190,2001,102731.0
324,40190,2002,102300.0
325,40190,2003,98286.0
326,40190,2004,99223.0
327,40190,2005,107447.0
328,40190,2006,116514.0
329,40190,2007,115066.0
330,40190,2008,126024.0
331,40190,2009,130067.0
332,40190,2010,139920.0
333,40190,2011,142011.0
334,40190,2012,145055.0
335,40190,2013,71724.0
336,40190,2014,137197.0
337,40190,2015,142728.0
338,40190,2016,138422.0
339,40190,2017,128693.0
340,40190,2018,119951.0
341,40190,2019,115927.0
342,40200,2001,146523.0
343,40200,2002,140155.0
344,40200,2003,135591.0
345,40200,2004,132720.0
346,40200,2005,140233.0
347,40200,2006,153988.0
348,40200,2007,179077.0
349,40200,2008,187172.0
350,40200,2009,174849.0
351,40200,2010,173739.0
352,40200,2011,185506.0
353,40200,2012,192640.0
354,40200,2013,184598.0
355,40200,2014,186885.0
356,40200,2015,248033.0
357,40200,2016,250544.0
358,40200,2017,165650.0
359,40200,2018,29.0
360,40200,2019,0.0
361,40210,2001,14947.0
362,40210,2002,14474.0
363,40210,2003,7657.0
364,40210,2004,10874.0
365,40210,2005,19935.0
366,40210,2006,23571.0
367,40210,2007,27243.0
368,40210,2008,30675.0
369,40210,2009,31890.0
370,40210,2010,32264.0
371,40210,2011,35333.0
372,40210,2012,37661.0
373,40210,2013,38043.0
374,40210,2014,40601.0
375,40210,2015,41428.0
376,40210,2016,40396.0
377,40210,2017,39546.0
378,40210,2018,38824.0
379,40210,2019,38606.0
380,40220,2001,28294.0
381,40220,2002,26982.0
382,40220,2003,26564.0
383,40220,2004,26550.0
384,40220,2005,26178.0
385,40220,2006,29827.0
386,40220,2007,33194.0
387,40220,2008,37689.0
388,40220,2009,36360.0
389,40220,2010,39562.0
390,40220,2011,43885.0
391,40220,2012,47364.0
392,40220,2013,44996.0
393,40220,2014,46405.0
394,40220,2015,46312.0
395,40220,2016,44518.0
396,40220,2017,42763.0
397,40220,2018,41456.0
398,40220,2019,41212.0
399,40230,2001,119707.0
400,40230,2002,117911.0
401,40230,2003,125039.0
402,40230,2004,129000.0
403,40230,2005,140784.0
404,40230,2006,142546.0
405,40230,2007,124310.0
406,40230,2008,124512.0
407,40230,2009,115845.0
408,40230,2010,116560.0
409,40230,2011,117576.0
410,40230,2012,121390.0
411,40230,2013,119881.0
412,40230,2014,115510.0
413,40230,2015,120951.0
414,40230,2016,117943.0
415,40230,2017,117159.0
416,40230,2018,111281.0
417,40230,2019,103318.0
418,40240,2001,196094.0
419,40240,2002,208958.0
420,40240,2003,205398.0
421,40240,2004,185769.0
422,40240,2005,192570.0
423,40240,2006,200545.0
424,40240,2007,208741.0
425,40240,2008,220702.0
426,40240,2009,210082.0
427,40240,2010,213785.0
428,40240,2011,211156.0
429,40240,2012,206483.0
430,40240,2013,113049.0
431,40240,2014,201556.0
432,40240,2015,208989.0
433,40240,2016,196933.0
434,40240,2017,184426.0
435,40240,2018,176746.0
436,40240,2019,164656.0
437,40250,2001,39596.0
438,40250,2002,41328.0
439,40250,2003,42143.0
440,40250,2004,38965.0
441,40250,2005,39060.0
442,40250,2006,41084.0
443,40250,2007,42292.0
444,40250,2008,46368.0
445,40250,2009,45232.0
446,40250,2010,50941.0
447,40250,2011,56989.0
448,40250,2012,60595.0
449,40250,2013,59960.0
450,40250,2014,62692.0
451,40250,2015,65604.0
452,40250,2016,60097.0
453,40250,2017,52471.0
454,40250,2018,52612.0
455,40250,2019,48486.0
456,40260,2001,212617.0
457,40260,2002,218516.0
458,40260,2003,202178.0
459,40260,2004,188935.0
460,40260,2005,184367.0
461,40260,2006,209108.0
462,40260,2007,241811.0
463,40260,2008,247719.0
464,40260,2009,234995.0
465,40260,2010,236538.0
466,40260,2011,245540.0
467,40260,2012,255539.0
468,40260,2013,253630.0
469,40260,2014,257684.0
470,40260,2015,274650.0
471,40260,2016,262233.0
472,40260,2017,275541.0
473,40260,2018,314988.0
474,40260,2019,315266.0
475,40270,2001,31346.0
476,40270,2002,31880.0
477,40270,2003,31651.0
478,40270,2004,30113.0
479,40270,2005,30224.0
480,40270,2006,30574.0
481,40270,2007,28900.0
482,40270,2008,31129.0
483,40270,2009,31936.0
484,40270,2010,30427.0
485,40270,2011,31576.0
486,40270,2012,32132.0
487,40270,2013,31837.0
488,40270,2014,33620.0
489,40270,2015,33244.0
490,40270,2016,32628.0
491,40270,2017,32089.0
492,40270,2018,30964.0
493,40270,2019,29852.0
