Date,Price
"Jan 15, 2007",2.265
"Jan 22, 2007",2.171
"Jan 29, 2007",2.199
"Feb 05, 2007",2.295
"Feb 12, 2007",2.319
"Feb 19, 2007",2.398
"Feb 26, 2007",2.501
"Mar 05, 2007",2.566
"Mar 12, 2007",2.54
"Mar 19, 2007",2.556
"Mar 26, 2007",2.614
"Apr 02, 2007",2.725
"Apr 09, 2007",2.898
"Apr 16, 2007",3.013
"Apr 23, 2007",2.973
"Apr 30, 2007",3.132
"May 07, 2007",3.359
"May 14, 2007",3.408
"May 21, 2007",3.573
"May 28, 2007",3.661
"Jun 04, 2007",3.607
"Jun 11, 2007",3.5
"Jun 18, 2007",3.38
"Jun 25, 2007",3.279
"Jul 02, 2007",3.202
"Jul 09, 2007",3.189
"Jul 16, 2007",3.425
"Jul 23, 2007",3.302
"Jul 30, 2007",3.182
"Aug 06, 2007",3.106
"Aug 13, 2007",3.035
"Aug 20, 2007",3.116
"Aug 27, 2007",3.072
"Sep 03, 2007",3.243
"Sep 10, 2007",3.251
"Sep 17, 2007",3.156
"Sep 24, 2007",3.096
"Oct 01, 2007",3.011
"Oct 08, 2007",2.944
"Oct 15, 2007",2.884
"Oct 22, 2007",2.898
"Oct 29, 2007",2.951
"Nov 05, 2007",3.17
"Nov 12, 2007",3.218
"Nov 19, 2007",3.18
"Nov 26, 2007",3.163
"Dec 03, 2007",3.129
"Dec 10, 2007",3.067
"Dec 17, 2007",3.092
"Dec 24, 2007",3.072
"Dec 31, 2007",3.177
"Jan 07, 2008",3.267
"Jan 14, 2008",3.203
"Jan 21, 2008",3.132
"Jan 28, 2008",3.097
"Feb 04, 2008",3.112
"Feb 11, 2008",3.091
"Feb 18, 2008",3.209
"Feb 25, 2008",3.208
"Mar 03, 2008",3.196
"Mar 10, 2008",3.312
"Mar 17, 2008",3.418
"Mar 24, 2008",3.408
"Mar 31, 2008",3.485
"Apr 07, 2008",3.528
"Apr 14, 2008",3.606
"Apr 21, 2008",3.732
"Apr 28, 2008",3.793
"May 05, 2008",3.826
"May 12, 2008",3.986
"May 19, 2008",4.06
"May 26, 2008",4.213
"Jun 02, 2008",4.217
"Jun 09, 2008",4.213
"Jun 16, 2008",4.222
"Jun 23, 2008",4.256
"Jun 30, 2008",4.244
"Jul 07, 2008",4.343
"Jul 14, 2008",4.341
"Jul 21, 2008",4.269
"Jul 28, 2008",4.13
"Aug 04, 2008",4.064
"Aug 11, 2008",4.046
"Aug 18, 2008",4.072
"Aug 25, 2008",4.061
"Sep 01, 2008",3.987
"Sep 08, 2008",3.949
"Sep 15, 2008",4.337
"Sep 22, 2008",4.095
"Sep 29, 2008",3.956
"Oct 06, 2008",3.794
"Oct 13, 2008",3.506
"Oct 20, 2008",3.246
"Oct 27, 2008",2.95
"Nov 03, 2008",2.669
"Nov 10, 2008",2.447
"Nov 17, 2008",2.237
"Nov 24, 2008",1.971
"Dec 01, 2008",1.816
"Dec 08, 2008",1.692
"Dec 15, 2008",1.763
"Dec 22, 2008",1.771
"Dec 29, 2008",1.726
"Jan 05, 2009",1.904
"Jan 12, 2009",2.004
"Jan 19, 2009",2.051
"Jan 26, 2009",1.988
"Feb 02, 2009",1.962
"Feb 09, 2009",1.957
"Feb 16, 2009",2.036
"Feb 23, 2009",1.956
"Mar 02, 2009",2
"Mar 09, 2009",2.07
"Mar 16, 2009",1.98
"Mar 23, 2009",2.097
"Mar 30, 2009",2.179
"Apr 06, 2009",2.14
"Apr 13, 2009",2.182
"Apr 20, 2009",2.178
"Apr 27, 2009",2.228
"May 04, 2009",2.295
"May 11, 2009",2.556
"May 18, 2009",2.609
"May 25, 2009",2.684
"Jun 01, 2009",2.785
"Jun 08, 2009",2.962
"Jun 15, 2009",2.907
"Jun 22, 2009",2.917
"Jun 29, 2009",2.863
"Jul 06, 2009",2.807
"Jul 13, 2009",2.699
"Jul 20, 2009",2.631
"Jul 27, 2009",2.658
"Aug 03, 2009",2.711
"Aug 10, 2009",2.775
"Aug 17, 2009",2.734
"Aug 24, 2009",2.746
"Aug 31, 2009",2.724
"Sep 07, 2009",2.67
"Sep 14, 2009",2.666
"Sep 21, 2009",2.635
"Sep 28, 2009",2.564
"Oct 05, 2009",2.537
"Oct 12, 2009",2.598
"Oct 19, 2009",2.7
"Oct 26, 2009",2.864
"Nov 02, 2009",2.872
"Nov 09, 2009",2.834
"Nov 16, 2009",2.772
"Nov 23, 2009",2.755
"Nov 30, 2009",2.749
"Dec 07, 2009",2.732
"Dec 14, 2009",2.714
"Dec 21, 2009",2.733
"Dec 28, 2009",2.771
"Jan 04, 2010",2.828
"Jan 11, 2010",2.925
"Jan 18, 2010",2.886
"Jan 25, 2010",2.84
"Feb 01, 2010",2.782
"Feb 08, 2010",2.754
"Feb 15, 2010",2.7
"Feb 22, 2010",2.836
"Mar 01, 2010",2.83
"Mar 08, 2010",2.862
"Mar 15, 2010",2.92
"Mar 22, 2010",3.062
"Mar 29, 2010",3.02
"Apr 05, 2010",3.081
"Apr 12, 2010",3.091
"Apr 19, 2010",3.125
"Apr 26, 2010",3.112
"May 03, 2010",3.168
"May 10, 2010",3.162
"May 17, 2010",3.11
"May 24, 2010",3.019
"May 31, 2010",2.961
"Jun 07, 2010",2.939
"Jun 14, 2010",2.905
"Jun 21, 2010",2.965
"Jun 28, 2010",2.964
"Jul 05, 2010",2.904
"Jul 12, 2010",2.896
"Jul 19, 2010",2.916
"Jul 26, 2010",2.976
"Aug 02, 2010",2.927
"Aug 09, 2010",2.968
"Aug 16, 2010",2.922
"Aug 23, 2010",2.876
"Aug 30, 2010",2.836
"Sep 06, 2010",2.903
"Sep 13, 2010",3.06
"Sep 20, 2010",3.019
"Sep 27, 2010",2.948
"Oct 04, 2010",2.958
"Oct 11, 2010",3.007
"Oct 18, 2010",3.032
"Oct 25, 2010",2.987
"Nov 01, 2010",2.939
"Nov 08, 2010",3.11
"Nov 15, 2010",3.118
"Nov 22, 2010",3.056
"Nov 29, 2010",3.023
"Dec 06, 2010",3.109
"Dec 13, 2010",3.097
"Dec 20, 2010",3.149
"Dec 27, 2010",3.288
"Jan 03, 2011",3.303
"Jan 10, 2011",3.316
"Jan 17, 2011",3.283
"Jan 24, 2011",3.27
"Jan 31, 2011",3.286
"Feb 07, 2011",3.351
"Feb 14, 2011",3.325
"Feb 21, 2011",3.368
"Feb 28, 2011",3.604
"Mar 07, 2011",3.72
"Mar 14, 2011",3.708
"Mar 21, 2011",3.755
"Mar 28, 2011",3.797
"Apr 04, 2011",3.974
"Apr 11, 2011",4.142
"Apr 18, 2011",4.227
"Apr 25, 2011",4.295
"May 02, 2011",4.394
"May 09, 2011",4.44
"May 16, 2011",4.386
"May 23, 2011",4.236
"May 30, 2011",4.185
"Jun 06, 2011",4.296
"Jun 13, 2011",4.158
"Jun 20, 2011",4.035
"Jun 27, 2011",3.911
"Jul 04, 2011",3.98
"Jul 11, 2011",3.981
"Jul 18, 2011",4.028
"Jul 25, 2011",3.991
"Aug 01, 2011",4.013
"Aug 08, 2011",3.967
"Aug 15, 2011",3.889
"Aug 22, 2011",3.855
"Aug 29, 2011",3.963
"Sep 05, 2011",4.027
"Sep 12, 2011",3.963
"Sep 19, 2011",3.871
"Sep 26, 2011",3.752
"Oct 03, 2011",3.615
"Oct 10, 2011",3.562
"Oct 17, 2011",3.554
"Oct 24, 2011",3.512
"Oct 31, 2011",3.591
"Nov 07, 2011",3.547
"Nov 14, 2011",3.639
"Nov 21, 2011",3.558
"Nov 28, 2011",3.495
"Dec 05, 2011",3.445
"Dec 12, 2011",3.432
"Dec 19, 2011",3.346
"Dec 26, 2011",3.431
"Jan 02, 2012",3.533
"Jan 09, 2012",3.655
"Jan 16, 2012",3.706
"Jan 23, 2012",3.576
"Jan 30, 2012",3.538
"Feb 06, 2012",3.612
"Feb 13, 2012",3.567
"Feb 20, 2012",3.568
"Feb 27, 2012",3.83
"Mar 05, 2012",4.053
"Mar 12, 2012",4.173
"Mar 19, 2012",4.326
"Mar 26, 2012",4.515
"Apr 02, 2012",4.457
"Apr 09, 2012",4.329
"Apr 16, 2012",4.231
"Apr 23, 2012",4.257
"Apr 30, 2012",4.189
"May 07, 2012",4.222
"May 14, 2012",4.108
"May 21, 2012",4.039
"May 28, 2012",4.02
"Jun 04, 2012",3.939
"Jun 11, 2012",3.976
"Jun 18, 2012",3.871
"Jun 25, 2012",3.704
"Jul 02, 2012",3.596
"Jul 09, 2012",3.771
"Jul 16, 2012",3.763
"Jul 23, 2012",3.75
"Jul 30, 2012",3.866
"Aug 06, 2012",4.228
"Aug 13, 2012",4.207
"Aug 20, 2012",4.22
"Aug 27, 2012",4.143
"Sep 03, 2012",4.3
"Sep 10, 2012",4.236
"Sep 17, 2012",4.284
